model,threshold_from_val,AP50_95,AP50,AP75,top1_frame_recall_iou50,macro_video_recall_iou50,macro_video_recall_ci95_low,macro_video_recall_ci95_high,center_precision_5px,center_precision_10px,center_precision_20px,false_positive_frame_rate_absent,false_positive_detections_per_absent_frame
fasterrcnn_r50_fpn_v2_i1280,0.9445419907569885,0.13087680267215593,0.32150290079687655,0.07503752879403418,0.33698155877877517,0.3452626001622266,0.283116112282075,0.40870527547773794,0.3557857412086608,0.3569165049627965,0.357251546075133,0.47394789579158314,0.6302605210420842
retinanet_resnet50_fpn_v2_i1280,0.9949000477790833,0.11747337308113388,0.3433105889363171,0.05148595359595283,0.35639998324794436,0.3638945242144882,0.30467762467147946,0.4247961997614057,0.4178660673153435,0.425697653316209,0.4285315427247218,0.3226452905811623,0.3406813627254509
fcos_resnet50_fpn_i1280,0.354731947183609,0.05965193315903246,0.1669731245169289,0.025081060990612785,0.2146077924978711,0.2110096536346223,0.16178416521323108,0.26457282830202294,0.2517415157818324,0.25608309019585945,0.25784205603562604,0.48697394789579157,0.7344689378757515
yolov8s_i1280,0.2902681231498718,0.08867857894852478,0.2267625819772233,0.05231842107400963,0.26515712032163946,0.27171467881764566,0.20837768226540515,0.33512858514928806,0.2855806681278182,0.28718607345776387,0.2873675540602795,0.4438877755511022,0.6482965931863728
rtdetr_l_i1280,0.5574387311935425,0.22533584980661986,0.463339489792139,0.19077765717817483,0.4359024471961247,0.4381642195324262,0.373892227779612,0.5021632474837401,0.4583781218153644,0.46022084793321516,0.4605558890455516,0.6042084168336673,0.6402805611222445
yolomg_paper_i1280,0.23567244410514832,0.21303642159687794,0.5305770288133961,0.10869559222901953,0.6235115100582134,0.625513817080692,0.5722427517947971,0.6793762700854168,0.6616224365864894,0.6676112964695042,0.6684628592966929,0.5370741482965932,1.4168336673346693
