model,model_display,factor,factor_meaning,bin,positive_frames,videos_represented,top1_recall_iou50,video_cluster_bootstrap95_low,video_cluster_bootstrap95_high,center_precision_10px,prediction_present_rate,mean_top1_iou
retinanet_resnet50_fpn_v2,RetinaNet,target_displacement_per_frame,target-center displacement per annotated frame (px),1-4,36396,35,0.19502143092647545,0.14412778621188135,0.2564605039519031,0.225381910100011,0.4477689856028135,0.152117166340172
retinanet_resnet50_fpn_v2,RetinaNet,target_displacement_per_frame,target-center displacement per annotated frame (px),>4,18975,35,0.2685111989459816,0.18441718579335944,0.3658171948800064,0.2991304347826087,0.5041897233201581,0.20930843750696912
retinanet_resnet50_fpn_v2,RetinaNet,camera_displacement_px,phase-correlation camera displacement magnitude (px),<=0.5,29448,35,0.22877614778592772,0.150714083398323,0.3133519916760862,0.2584895408856289,0.47324096712849767,0.1771504398464724
retinanet_resnet50_fpn_v2,RetinaNet,camera_displacement_px,phase-correlation camera displacement magnitude (px),0.5-3,26138,35,0.2062896931670365,0.14207573072122753,0.2813835215985862,0.23674343867166578,0.45910169102456194,0.15945133590339416
retinanet_resnet50_fpn_v2,RetinaNet,camera_displacement_px,phase-correlation camera displacement magnitude (px),>3,16047,31,0.2070168878918178,0.14949371344982276,0.2664047255470203,0.23680438711285598,0.47429426060945973,0.16309319994485205
fcos_resnet50_fpn,FCOS,target_sqrt_area_px,original-resolution square-root box area (px),<=12,31393,34,0.005224094543369541,0.0028209134796877595,0.008171672404413216,0.036027139808237504,0.46672825152103975,0.0124104870687755
fcos_resnet50_fpn,FCOS,target_sqrt_area_px,original-resolution square-root box area (px),12-20,28907,34,0.05894765973639603,0.037716061996643936,0.08543146645790145,0.1042308091465735,0.5644999481094545,0.055125378662104096
fcos_resnet50_fpn,FCOS,target_sqrt_area_px,original-resolution square-root box area (px),20-32,8977,24,0.3168096245961903,0.18952384133855943,0.4467450083692363,0.3507853403141361,0.8258883814191823,0.24182208195143248
fcos_resnet50_fpn,FCOS,target_sqrt_area_px,original-resolution square-root box area (px),>32,2356,10,0.5810696095076401,0.2399513854880836,0.7816971051181373,0.5929541595925297,0.9286926994906621,0.43871694464541017
fcos_resnet50_fpn,FCOS,target_contrast,absolute target/ring grayscale contrast normalized by 255,<=0.05,18090,35,0.04975124378109453,0.02586861742569256,0.07805304966344075,0.05599778883360973,0.4652846876727474,0.037758702656072306
fcos_resnet50_fpn,FCOS,target_contrast,absolute target/ring grayscale contrast normalized by 255,0.05-0.10,22218,35,0.10757043838329283,0.04396734793871429,0.18885012218695055,0.12638401296246288,0.5786299396885408,0.08590026587852621
fcos_resnet50_fpn,FCOS,target_contrast,absolute target/ring grayscale contrast normalized by 255,>0.10,31325,35,0.08909816440542698,0.05543421947029621,0.1364006214871809,0.15543495610534716,0.6160893854748604,0.0828724231272359
fcos_resnet50_fpn,FCOS,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),<=350,17457,34,0.11714498481984305,0.06107982959393383,0.18602823323478826,0.21636019934696682,0.6239330927421665,0.11280400738103466
fcos_resnet50_fpn,FCOS,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),350-1400,36495,35,0.07751746814632142,0.03945113266236597,0.1237617722843025,0.0975750102753802,0.578161391971503,0.06302069884130419
fcos_resnet50_fpn,FCOS,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),>1400,17681,32,0.06826536960579153,0.02622193799440983,0.13921738296424213,0.07646626322040609,0.48526667043719246,0.051943087593121995
fcos_resnet50_fpn,FCOS,context_edge_density,surrounding-ring Canny edge density,<=0.06,17945,33,0.10855391473948175,0.05157432911986034,0.1871531146289178,0.20456951797157982,0.6074672610755085,0.10663547868535644
fcos_resnet50_fpn,FCOS,context_edge_density,surrounding-ring Canny edge density,0.06-0.22,34738,35,0.07910645402729,0.04025045484843826,0.12458890708837611,0.09917093672635155,0.5771201566008406,0.06420940031378393
fcos_resnet50_fpn,FCOS,context_edge_density,surrounding-ring Canny edge density,>0.22,18950,32,0.07308707124010554,0.03562637934238215,0.13081514950881507,0.08306068601583114,0.5078100263852243,0.05506521792554936
fcos_resnet50_fpn,FCOS,target_displacement_per_frame,target-center displacement per annotated frame (px),<=1,16177,35,0.041911355628361256,0.024978588554424398,0.0643789635120124,0.07591024293750387,0.5315571490387587,0.040327077043051295
fcos_resnet50_fpn,FCOS,target_displacement_per_frame,target-center displacement per annotated frame (px),1-4,36396,35,0.06550170348389933,0.04154780132437346,0.09471235472493385,0.10388504231234201,0.5446477634904935,0.05866776575445003
fcos_resnet50_fpn,FCOS,target_displacement_per_frame,target-center displacement per annotated frame (px),>4,18975,35,0.1589459815546772,0.07439043230384892,0.26607869925527916,0.19378129117259552,0.6379973649538867,0.1263493507435448
fcos_resnet50_fpn,FCOS,camera_displacement_px,phase-correlation camera displacement magnitude (px),<=0.5,29448,35,0.07769627818527575,0.04113613715028417,0.12943942238397582,0.13121434392828035,0.5698179842434121,0.07198622081305299
fcos_resnet50_fpn,FCOS,camera_displacement_px,phase-correlation camera displacement magnitude (px),0.5-3,26138,35,0.08757364756293519,0.04052398497427351,0.15211477929613063,0.11967250746040248,0.5213864871068942,0.07291043440226842
fcos_resnet50_fpn,FCOS,camera_displacement_px,phase-correlation camera displacement magnitude (px),>3,16047,31,0.09372468374150932,0.05285566127339556,0.1473036113235392,0.10581417087306039,0.6333894185829126,0.0724112000927794
yolov8s,YOLOv8s,target_sqrt_area_px,original-resolution square-root box area (px),<=12,31393,34,0.06192463287994139,0.03242694402843944,0.09729020923969131,0.11556716465454082,0.33392794572038353,0.05979880283822574
yolov8s,YOLOv8s,target_sqrt_area_px,original-resolution square-root box area (px),12-20,28907,34,0.18812052444044694,0.10169485084394306,0.2857759483970521,0.19877538312519458,0.4450825059674127,0.1400506176980472
yolov8s,YOLOv8s,target_sqrt_area_px,original-resolution square-root box area (px),20-32,8977,24,0.37941405814860196,0.23002557354490188,0.5124330291156229,0.3952322602205637,0.6009802829453047,0.29743270347575435
yolov8s,YOLOv8s,target_sqrt_area_px,original-resolution square-root box area (px),>32,2356,10,0.44991511035653653,0.22012037833190026,0.5837878258677126,0.4673174872665535,0.6124787775891342,0.3481989332650843
yolov8s,YOLOv8s,target_contrast,absolute target/ring grayscale contrast normalized by 255,<=0.05,18090,35,0.17125483692647872,0.08611947705224593,0.24858277381740373,0.20934217799889443,0.40613598673300166,0.1339788596516861
yolov8s,YOLOv8s,target_contrast,absolute target/ring grayscale contrast normalized by 255,0.05-0.10,22218,35,0.15978035826807094,0.10069518725973342,0.22554586704358534,0.1793140696732379,0.40048609235754795,0.12427899084699504
yolov8s,YOLOv8s,target_contrast,absolute target/ring grayscale contrast normalized by 255,>0.10,31325,35,0.16600159616919394,0.09204796249638975,0.25772327760262265,0.19958499600957702,0.44507581803671187,0.13507450596758883
yolov8s,YOLOv8s,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),<=350,17457,34,0.2584063699375609,0.14743542030456064,0.37292443500856165,0.34129575528441314,0.521223577934353,0.21434620553621833
yolov8s,YOLOv8s,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),350-1400,36495,35,0.1255240443896424,0.0747062053793907,0.1850370863386763,0.14048499794492397,0.38281956432388,0.09892671568090243
yolov8s,YOLOv8s,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),>1400,17681,32,0.15587353656467395,0.049952208420629564,0.2609156829926492,0.16616707199819014,0.40252248176008143,0.11673236187726706
yolov8s,YOLOv8s,context_edge_density,surrounding-ring Canny edge density,<=0.06,17945,33,0.2535525215937587,0.14728427381324868,0.3649645090284796,0.34516578434104206,0.5298411813875732,0.21207227955491542
yolov8s,YOLOv8s,context_edge_density,surrounding-ring Canny edge density,0.06-0.22,34738,35,0.13270769762220047,0.08294207406659884,0.19131882994324786,0.142811906269791,0.3842765847199033,0.10302213860182523
yolov8s,YOLOv8s,context_edge_density,surrounding-ring Canny edge density,>0.22,18950,32,0.14184696569920843,0.05866679607178154,0.2269724118405596,0.15134564643799472,0.38680738786279684,0.10721356104533478
yolov8s,YOLOv8s,target_displacement_per_frame,target-center displacement per annotated frame (px),<=1,16177,35,0.17697966248377325,0.10100159626579243,0.24737366927743984,0.2106076528404525,0.42022624714100265,0.13833231323145362
yolov8s,YOLOv8s,target_displacement_per_frame,target-center displacement per annotated frame (px),1-4,36396,35,0.14606000659413124,0.09250657549415792,0.20460100794427827,0.1755412682712386,0.40364325750082425,0.1165482700420276
yolov8s,YOLOv8s,target_displacement_per_frame,target-center displacement per annotated frame (px),>4,18975,35,0.19299077733860343,0.11740987157562048,0.2760702283925376,0.22229249011857707,0.4563372859025033,0.15445965182290244
yolov8s,YOLOv8s,camera_displacement_px,phase-correlation camera displacement magnitude (px),<=0.5,29448,35,0.18035180657430047,0.1046175173989529,0.2558691063853587,0.20860499864167345,0.4426107036131486,0.14115662710665766
yolov8s,YOLOv8s,camera_displacement_px,phase-correlation camera displacement magnitude (px),0.5-3,26138,35,0.1278598209503405,0.07577845439881054,0.1949322779767706,0.1651235748718341,0.39130767464993493,0.10660602936807274
yolov8s,YOLOv8s,camera_displacement_px,phase-correlation camera displacement magnitude (px),>3,16047,31,0.19910263600673023,0.12180714247833839,0.2692381136648738,0.2220975883342681,0.4315448370411915,0.15410159771376059
rtdetr_l,RT-DETR-L,target_sqrt_area_px,original-resolution square-root box area (px),<=12,31393,34,0.2743923804669831,0.19896993499559573,0.3523271393107197,0.3055776765520976,0.5053037301309209,0.20540512202512298
rtdetr_l,RT-DETR-L,target_sqrt_area_px,original-resolution square-root box area (px),12-20,28907,34,0.35129899332341646,0.2626110112825823,0.4517817989530413,0.36375272425364097,0.6285328813090255,0.28047628325276647
rtdetr_l,RT-DETR-L,target_sqrt_area_px,original-resolution square-root box area (px),20-32,8977,24,0.5619917567115963,0.3940704914761455,0.7350811828454813,0.5761390219449705,0.7416731647543723,0.4521655338517402
rtdetr_l,RT-DETR-L,target_sqrt_area_px,original-resolution square-root box area (px),>32,2356,10,0.618421052631579,0.23319283160245613,0.8356530809528454,0.6239388794567062,0.8017826825127334,0.5019725606765617
rtdetr_l,RT-DETR-L,target_contrast,absolute target/ring grayscale contrast normalized by 255,<=0.05,18090,35,0.3085682697622996,0.2420068475420815,0.3672226422364023,0.3333886124930901,0.580873410724157,0.24125801866972865
rtdetr_l,RT-DETR-L,target_contrast,absolute target/ring grayscale contrast normalized by 255,0.05-0.10,22218,35,0.3480961382662706,0.26641944249820204,0.44143762853342994,0.36191376361508687,0.5732739220451886,0.2738082623144705
rtdetr_l,RT-DETR-L,target_contrast,absolute target/ring grayscale contrast normalized by 255,>0.10,31325,35,0.3816440542697526,0.29058843292895775,0.47429021041934866,0.4047246608140463,0.6172067039106145,0.2984810450510826
rtdetr_l,RT-DETR-L,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),<=350,17457,34,0.4958469381909836,0.3695736930297253,0.6041185173215774,0.5187603826545225,0.6982872200263505,0.39132802665198557
rtdetr_l,RT-DETR-L,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),350-1400,36495,35,0.31223455267844913,0.24078935531438367,0.391036619236346,0.33818331278257296,0.570297301000137,0.2435985319283825
rtdetr_l,RT-DETR-L,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),>1400,17681,32,0.29523217012612407,0.19563495291763017,0.3803665987272008,0.3026978112097732,0.5415983258865449,0.2305416255909408
rtdetr_l,RT-DETR-L,context_edge_density,surrounding-ring Canny edge density,<=0.06,17945,33,0.49896907216494846,0.3670624381283998,0.6089778346496569,0.5263304541655057,0.709445528002229,0.38838328739725736
rtdetr_l,RT-DETR-L,context_edge_density,surrounding-ring Canny edge density,0.06-0.22,34738,35,0.31841211353560944,0.2473787465352844,0.39145247136700395,0.3420173872992112,0.551931602279924,0.251420948868433
rtdetr_l,RT-DETR-L,context_edge_density,surrounding-ring Canny edge density,>0.22,18950,32,0.27736147757255936,0.1955235467686888,0.35518829537018987,0.2862269129287599,0.5633245382585752,0.2160606465397387
rtdetr_l,RT-DETR-L,target_displacement_per_frame,target-center displacement per annotated frame (px),<=1,16177,35,0.3325709340421586,0.2646358767805837,0.40005989933823577,0.35501019966619274,0.5858317364158991,0.2589819231043078
rtdetr_l,RT-DETR-L,target_displacement_per_frame,target-center displacement per annotated frame (px),1-4,36396,35,0.34649412023299264,0.2815799576369109,0.4128495328650978,0.37067260138476754,0.590092317837125,0.2702045148115068
rtdetr_l,RT-DETR-L,target_displacement_per_frame,target-center displacement per annotated frame (px),>4,18975,35,0.3828194993412385,0.2770910299720564,0.5005927659032537,0.3952569169960474,0.6096442687747036,0.30366789932537
rtdetr_l,RT-DETR-L,camera_displacement_px,phase-correlation camera displacement magnitude (px),<=0.5,29448,35,0.3654237978810106,0.28303098736125604,0.44692172850835904,0.38352349904917143,0.6124694376528117,0.2845888865214826
rtdetr_l,RT-DETR-L,camera_displacement_px,phase-correlation camera displacement magnitude (px),0.5-3,26138,35,0.3403473869462086,0.26238455087281487,0.42398158331028174,0.36387634861121737,0.5779707705256715,0.2655554186186847
rtdetr_l,RT-DETR-L,camera_displacement_px,phase-correlation camera displacement magnitude (px),>3,16047,31,0.34984732348725617,0.279599592184844,0.4175910318236654,0.37047423194366547,0.5880226833676077,0.27893607552337857
yolomg_paper,YOLOMG-Arch,target_sqrt_area_px,original-resolution square-root box area (px),<=12,31393,34,0.636989137705858,0.5779319854841117,0.6992274327565806,0.7026088618481827,0.8650336062179467,0.47191085476597927
yolomg_paper,YOLOMG-Arch,target_sqrt_area_px,original-resolution square-root box area (px),12-20,28907,34,0.7963123118967724,0.7456509659589627,0.8516608109133399,0.8165496246583872,0.9480056733663127,0.6111055511793442
yolomg_paper,YOLOMG-Arch,target_sqrt_area_px,original-resolution square-root box area (px),20-32,8977,24,0.8733429876350673,0.8148948292079364,0.9148994888782133,0.8874902528684415,0.969923136905425,0.7060691069690991
yolomg_paper,YOLOMG-Arch,target_sqrt_area_px,original-resolution square-root box area (px),>32,2356,10,0.8404074702886248,0.7354539711752032,0.9038007422921501,0.8421052631578947,0.967741935483871,0.6705594711635781
yolomg_paper,YOLOMG-Arch,target_contrast,absolute target/ring grayscale contrast normalized by 255,<=0.05,18090,35,0.6893864013266998,0.6338022565948087,0.7417729810748934,0.7225538971807629,0.8965174129353234,0.5201991275328455
yolomg_paper,YOLOMG-Arch,target_contrast,absolute target/ring grayscale contrast normalized by 255,0.05-0.10,22218,35,0.7344045368620038,0.6853340811897165,0.7857083253502615,0.7792780628319381,0.9184895130074714,0.565926285059402
yolomg_paper,YOLOMG-Arch,target_contrast,absolute target/ring grayscale contrast normalized by 255,>0.10,31325,35,0.7676935355147646,0.7166083004948129,0.8146596132517662,0.8053312051077414,0.9232881085395052,0.5878369896381073
yolomg_paper,YOLOMG-Arch,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),<=350,17457,34,0.8016841381680702,0.7464335897112665,0.8490865635965085,0.8455633843157473,0.9474136449561781,0.6177066622387997
yolomg_paper,YOLOMG-Arch,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),350-1400,36495,35,0.7265104808877928,0.6700457431006973,0.7819278976512062,0.7675297986025483,0.9042608576517331,0.5553097606210841
yolomg_paper,YOLOMG-Arch,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),>1400,17681,32,0.6971890730162321,0.6254383291738693,0.7513460369208194,0.7262032690458684,0.9053220971664498,0.5287490075427571
yolomg_paper,YOLOMG-Arch,context_edge_density,surrounding-ring Canny edge density,<=0.06,17945,33,0.779771524101421,0.7202800593437303,0.8343643049535843,0.8273613820005573,0.9380886040679856,0.5988434345563828
yolomg_paper,YOLOMG-Arch,context_edge_density,surrounding-ring Canny edge density,0.06-0.22,34738,35,0.7202487189820945,0.6690067416648507,0.7728681676863636,0.7607519143301283,0.9096666474753872,0.5526120209974792
yolomg_paper,YOLOMG-Arch,context_edge_density,surrounding-ring Canny edge density,>0.22,18950,32,0.7294459102902374,0.6590618696971643,0.7844277691389551,0.756622691292876,0.9030606860158311,0.5517289868289161
yolomg_paper,YOLOMG-Arch,target_displacement_per_frame,target-center displacement per annotated frame (px),<=1,16177,35,0.6274958274092848,0.5615825652644865,0.6902255138068186,0.663472831798232,0.8580700995240156,0.47592423457781124
yolomg_paper,YOLOMG-Arch,target_displacement_per_frame,target-center displacement per annotated frame (px),1-4,36396,35,0.7590944059786789,0.7156517747246615,0.802468329798068,0.8008572370590175,0.923975162105726,0.5776155939693092
yolomg_paper,YOLOMG-Arch,target_displacement_per_frame,target-center displacement per annotated frame (px),>4,18975,35,0.7918840579710145,0.7423559480004577,0.838874990261932,0.8272990777338604,0.9480895915678524,0.6140898650259243
yolomg_paper,YOLOMG-Arch,camera_displacement_px,phase-correlation camera displacement magnitude (px),<=0.5,29448,35,0.7636511817440913,0.7119187186329755,0.8098734443950839,0.8030766096169519,0.9109277370279816,0.5835497482104997
yolomg_paper,YOLOMG-Arch,camera_displacement_px,phase-correlation camera displacement magnitude (px),0.5-3,26138,35,0.7187236972989517,0.6711385337821357,0.7711990297462512,0.7629122350600658,0.9042772974213789,0.5463963425360263
yolomg_paper,YOLOMG-Arch,camera_displacement_px,phase-correlation camera displacement magnitude (px),>3,16047,31,0.7205085062628529,0.6508140295935115,0.7876276138767728,0.7491743004923038,0.9401134168380383,0.5566190273835129
