model,threshold_from_val,AP50_95,AP50,AP75,top1_frame_recall_iou50,macro_video_recall_iou50,macro_video_recall_ci95_low,macro_video_recall_ci95_high,center_precision_5px,center_precision_10px,center_precision_20px,false_positive_frame_rate_absent,false_positive_detections_per_absent_frame
fasterrcnn_r50_fpn_v2,0.33251282572746277,0.07372199351550524,0.17283763850248934,0.04873492662059318,0.18843270559658257,0.18589125588728708,0.1360969265303675,0.24383100339384117,0.21364454929990367,0.21529183476889144,0.21576647634470147,0.45490981963927857,0.6342685370741483
retinanet_resnet50_fpn_v2,0.5650365948677063,0.07756170037122519,0.19374778379050583,0.04535598986854692,0.2156966761129647,0.20964408702655293,0.1584267145644062,0.26949210633911835,0.24065723898203342,0.24569681571342816,0.24727430095067915,0.342685370741483,0.4749498997995992
fcos_resnet50_fpn,0.23868565261363983,0.018553901366678026,0.04649694784486304,0.013348107551367264,0.08489104183825891,0.07809916569418453,0.04534193426948008,0.12095497280480558,0.11613362556363688,0.12131280275850516,0.12305780855192439,0.41583166332665333,0.5541082164328658
yolov8s,0.18819987773895264,0.06418656152531402,0.14755881465342513,0.044323264370414,0.1653986291234487,0.1560745983768852,0.10475074567964025,0.21226390740507092,0.19331872181815643,0.19576172992894336,0.19632013178283753,0.36472945891783565,0.4789579158316633
rtdetr_l,0.6204949617385864,0.17931153120236495,0.3636812653332935,0.1545185445530739,0.35278433124397973,0.3525822917011989,0.2866348630275737,0.4226087653932897,0.3721050353887175,0.3734312397917161,0.37380816104309467,0.6012024048096193,0.6052104208416834
yolomg_paper,0.11662977933883667,0.31886169878767323,0.7051072156531347,0.22839716015957065,0.7375930088087892,0.7396930899418319,0.6936684833583955,0.7850113082586437,0.7716136417572906,0.7763460974690436,0.7769463794619799,0.5821643286573146,1.153306613226453
