model,seeds,val_AP50_95_mean,val_AP50_95_sd,val_AP50_95_min,val_AP50_95_max,val_macro_recall_mean,val_macro_recall_sd,val_macro_recall_min,val_macro_recall_max
rtdetr_l,3,0.2661248077268416,0.0030308851784007526,0.2627382419973677,0.2685827110102271,0.5124674075719602,0.0032648977482829466,0.5099471632006713,0.5161556635139045
yolomg_arch,3,0.31040864169253246,0.004791200574971433,0.30598494702881374,0.31549777891094244,0.675630974363186,0.025139379957886555,0.6582863388518307,0.7044616933178839
yolov8s,3,0.11139582734135929,0.010194718787174222,0.10113647637211054,0.12152466069675491,0.2519243566482339,0.005340785849367387,0.24686039782071204,0.25750448865556286
